Temperatura inicial|Peor distancia|Distancia media|Mejor distancia|Veces que se repite el optimo|Relacion de optimos/totales
5|2480|1885,026|1691|513|0,513
10|2480|1867,283|1691|538|0,538
15|2480|1891,621|1691|494|0,494
20|2480|1874,155|1691|544|0,544
25|2480|1880,864|1691|508|0,508
100|2480|1853,12|1691|551|0,551
1000|2480|1789,84|1691|706|0,706
