Condiciones limite|Peor distancia|Distancia media|Mejor distancia|Veces que se repite el optimo|Relacion de optimos/totales
1|3675|2904,1|2456|10|0,1
0,9|3481|2912,11|2456|11|0,11
0,5|3675|2932,51|2456|10|0,1
0,4|3478|2890,56|2456|9|0,09
0,3|3535|2911,78|2456|13|0,13
0,1|3481|2924,01|2456|5|0,05
0,08|3481|2896,71|2456|9|0,09
0,05|3535|2907,43|2456|11|0,11
0,01|3481|2897,01|2456|4|0,04
